Channel,Vehicle,age_min,age_max,gender,concat,a,b,c
Youtube,Trueview_Instream,25,29,F,YoutubeTrueview_InstreamF2529,-5.796411806,1.073615827,0.91
Youtube,Trueview_Instream,30,34,F,YoutubeTrueview_InstreamF3034,-5.796411806,1.073615827,0.91
Youtube,Trueview_Instream,35,39,F,YoutubeTrueview_InstreamF3539,-5.0327789,0.934100027,0.94
Youtube,Trueview_Instream,40,44,F,YoutubeTrueview_InstreamF4044,-5.0327789,0.934100027,0.94
Youtube,Trueview_Instream,45,49,F,YoutubeTrueview_InstreamF4549,-5.240896422,0.929357764,0.8
Youtube,Trueview_Instream,55,59,F,YoutubeTrueview_InstreamF5559,-4.727978758,0.846692533,0.72
Youtube,Trueview_Instream,65,69,F,YoutubeTrueview_InstreamF6569,-3.975334501,0.698383196,0.56
Youtube,Trueview_Instream,50,54,M,YoutubeTrueview_InstreamM5054,-4.262806405,0.723228475,0.87
Youtube,Trueview_Instream,60,64,M,YoutubeTrueview_InstreamM6064,-4.3730062,0.753642342,0.705
Youtube,Trueview_Instream,50,54,F,YoutubeTrueview_InstreamF5054,-4.727978758,0.846692533,0.72
Youtube,Trueview_Instream,60,64,F,YoutubeTrueview_InstreamF6064,-3.975334501,0.698383196,0.56
SMR,overall,7,12,M,SMRoverallM712,-3.612970089,0.784573809,0.359
SMR,overall,13,18,M,SMRoverallM1318,-3.612970089,0.784573809,0.359
SMR,overall,19,24,M,SMRoverallM1924,-3.49069174,0.802155445,0.347856
SMR,overall,25,29,M,SMRoverallM2529,-4.113305231,0.872221305,0.318688
SMR,overall,30,34,M,SMRoverallM3034,-4.113305231,0.872221305,0.318688
SMR,overall,35,39,M,SMRoverallM3539,-4.235653327,0.653192189,0.36216
SMR,overall,40,44,M,SMRoverallM4044,-3.552572952,0.743135366,0.30148
SMR,overall,45,49,M,SMRoverallM4549,-3.211195458,0.726151702,0.303616
SMR,overall,55,59,M,SMRoverallM5559,-3.243364047,0.879811892,0.263056
SMR,overall,65,69,M,SMRoverallM6569,-2.441275843,0.846273333,0.216832
SMR,overall,7,12,F,SMRoverallF712,-3.016676377,0.766040531,0.312928
SMR,overall,13,18,F,SMRoverallF1318,-3.016676377,0.766040531,0.312928
SMR,overall,19,24,F,SMRoverallF1924,-2.917484616,0.723884644,0.314224
SMR,overall,25,29,F,SMRoverallF2529,-2.469709606,0.359950607,0.35968
SMR,overall,30,34,F,SMRoverallF3034,-2.469709606,0.359950607,0.35968
SMR,overall,35,39,F,SMRoverallF3539,-2.679569572,0.508011903,0.321928
SMR,overall,40,44,F,SMRoverallF4044,-2.674852021,0.830353765,0.22848
SMR,overall,45,49,F,SMRoverallF4549,-2.559889339,0.862519198,0.223616
SMR,overall,55,59,F,SMRoverallF5559,-2.37607607,0.798762722,0.19744
